"line_item_id","order_id","product_name","category","quantity","unit_price","discount_pct","total_amount"
"1","1","ABS Plastic Pellets 50lb","Raw Materials","20","100.61","20","1609.76"
"2","1","Conveyor Belt Segment 10ft","Industrial","2","394.22","15","670.17"
"3","2","Thermal Printer Paper 6pk","Office Supplies","50","24.25","0","1212.5"
"4","2","Custom Branded Tape 36 rolls","Packaging","44","49.1","20","1728.32"
"5","2","Industrial Sensor Module","Electronics","17","147.34","0","2504.78"
"6","3","Industrial Sensor Module","Electronics","39","140.52","5","5206.27"
"7","3","Filing Cabinet 4-Drawer","Office Supplies","39","174.93","10","6140.04"
"8","3","Bubble Wrap Roll 250ft","Packaging","17","35.94","0","610.98"
"9","4","Foam Insert Custom Cut","Packaging","44","16.86","15","630.56"
"10","5","Steel Mounting Bracket Set","Industrial","28","73.56","0","2059.68"
"11","5","Whiteboard 48x36","Office Supplies","21","84.5","15","1508.33"
"12","5","Whiteboard 48x36","Office Supplies","20","77.55","15","1318.35"
"13","5","Silicone Gasket Material","Raw Materials","19","52.52","10","898.09"
"14","5","Silicone Gasket Material","Raw Materials","25","59.57","15","1265.86"
"15","5","Industrial Filter Cartridge","Industrial","37","37.53","0","1388.61"
"16","6","Power Supply Unit 500W","Electronics","19","110.43","0","2098.17"
"17","6","Foam Insert Custom Cut","Packaging","42","15.39","0","646.38"
"18","6","Silicone Gasket Material","Raw Materials","14","56.45","10","711.27"
"19","6","Safety Relay Module","Industrial","6","155.48","0","932.88"
"20","6","Pallet Stretch Wrap 4pk","Packaging","6","67.6","20","324.48"
"21","6","Safety Relay Module","Industrial","20","164.5","0","3290.0"
"22","6","Hydraulic Pump HP-200","Industrial","3","959.69","0","2879.07"
"23","7","LCD Display Panel 15in","Electronics","27","201.76","15","4630.39"
"24","7","Stainless Steel Rod 1in 6ft","Raw Materials","26","72.97","0","1897.22"
"25","7","Industrial Sensor Module","Electronics","50","136.85","5","6500.38"
"26","7","Custom Branded Tape 36 rolls","Packaging","4","46.3","10","166.68"
"27","7","LCD Display Panel 15in","Electronics","9","197.34","20","1420.85"
"28","8","Foam Insert Custom Cut","Packaging","21","16.71","20","280.73"
"29","8","Poly Mailer Bags 100pk","Packaging","33","31.97","5","1002.26"
"30","8","Custom Branded Tape 36 rolls","Packaging","11","52.27","15","488.72"
"31","8","ABS Plastic Pellets 50lb","Raw Materials","49","101.46","0","4971.54"
"32","8","Whiteboard 48x36","Office Supplies","32","74.88","15","2036.74"
"33","9","Servo Motor Assembly","Electronics","19","310.16","0","5893.04"
"34","9","Whiteboard 48x36","Office Supplies","6","73.48","0","440.88"
"35","9","Silicone Gasket Material","Raw Materials","10","53.5","15","454.75"
"36","9","Stainless Steel Rod 1in 6ft","Raw Materials","22","77.97","10","1543.81"
"37","10","Pneumatic Valve Assembly","Industrial","25","198.28","20","3965.6"
"38","11","Cable Harness Kit","Electronics","25","41.0","5","973.75"
"39","11","Standing Desk Converter","Office Supplies","49","320.14","5","14902.52"
"40","11","Nylon Fastener Assortment","Raw Materials","48","42.39","15","1729.51"
"41","11","Bubble Wrap Roll 250ft","Packaging","32","32.93","0","1053.76"
"42","11","Aluminum Sheet 4x8 0.125in","Raw Materials","25","191.25","0","4781.25"
"43","11","Silicone Gasket Material","Raw Materials","11","56.38","20","496.14"
"44","12","Foam Insert Custom Cut","Packaging","2","15.78","5","29.98"
"45","12","Industrial Sensor Module","Electronics","42","134.44","5","5364.16"
"46","13","Hydraulic Pump HP-200","Industrial","17","844.79","5","13643.36"
"47","13","ABS Plastic Pellets 50lb","Raw Materials","22","102.21","20","1798.9"
"48","13","Filing Cabinet 4-Drawer","Office Supplies","17","173.65","20","2361.64"
"49","13","Servo Motor Assembly","Electronics","35","357.49","0","12512.15"
"50","14","Safety Relay Module","Industrial","5","169.18","20","676.72"
"51","14","Industrial Sensor Module","Electronics","16","154.84","0","2477.44"
"52","14","Bubble Wrap Roll 250ft","Packaging","16","34.32","0","549.12"
"53","15","Bubble Wrap Roll 250ft","Packaging","30","32.82","15","836.91"
"54","16","Industrial Filter Cartridge","Industrial","39","39.92","15","1323.35"
"55","16","Steel Mounting Bracket Set","Industrial","7","61.1","10","384.93"
"56","16","Whiteboard 48x36","Office Supplies","44","77.37","5","3234.07"
"57","17","Hydraulic Pump HP-200","Industrial","38","932.85","15","30131.06"
"58","17","Hydraulic Pump HP-200","Industrial","45","840.28","20","30250.08"
"59","17","Corrugated Box 24x18x12 50pk","Packaging","37","80.83","20","2392.57"
"60","17","Custom Branded Tape 36 rolls","Packaging","43","44.55","0","1915.65"
"61","17","Thermal Printer Paper 6pk","Office Supplies","27","24.94","20","538.7"
"62","17","ABS Plastic Pellets 50lb","Raw Materials","41","94.24","20","3091.07"
"63","18","Copper Wire Spool 500ft","Raw Materials","47","341.05","10","14426.42"
"64","18","Whiteboard 48x36","Office Supplies","35","78.74","20","2204.72"
"65","19","Pallet Stretch Wrap 4pk","Packaging","21","58.84","20","988.51"
"66","19","Power Supply Unit 500W","Electronics","29","117.61","0","3410.69"
"67","19","Foam Insert Custom Cut","Packaging","43","14.99","5","612.34"
"68","19","ABS Plastic Pellets 50lb","Raw Materials","12","89.53","5","1020.64"
"69","20","Standing Desk Converter","Office Supplies","18","311.03","10","5038.69"
"70","20","Whiteboard 48x36","Office Supplies","1","86.08","10","77.47"
"71","20","Control Board Assembly","Electronics","47","288.84","5","12896.71"
"72","20","Safety Relay Module","Industrial","31","161.57","15","4257.37"
"73","20","Aluminum Sheet 4x8 0.125in","Raw Materials","6","174.7","0","1048.2"
"74","20","Steel Mounting Bracket Set","Industrial","43","65.73","10","2543.75"
"75","20","Foam Insert Custom Cut","Packaging","23","17.04","5","372.32"
"76","21","Standing Desk Converter","Office Supplies","45","285.3","5","12196.57"
"77","21","Ergonomic Chair Model X","Office Supplies","8","421.39","15","2865.45"
"78","21","Servo Motor Assembly","Electronics","35","337.36","20","9446.08"
"79","21","Conveyor Belt Segment 10ft","Industrial","48","401.23","5","18296.09"
"80","21","Foam Insert Custom Cut","Packaging","39","16.99","0","662.61"
"81","22","Steel Mounting Bracket Set","Industrial","15","63.17","0","947.55"
"82","22","Servo Motor Assembly","Electronics","35","310.33","0","10861.55"
"83","22","Cable Harness Kit","Electronics","19","49.54","15","800.07"
"84","22","Aluminum Sheet 4x8 0.125in","Raw Materials","1","177.02","10","159.32"
