"note_id","order_id","note_type","note_content"
"1","34","feedback","Positive feedback on packaging quality. Zero damage reported across 28 shipments this quarter."
"2","9","feedback","Customer praised fast turnaround on rush order. Shipped within 23 hours of placement."
"3","19","update","Order status changed from completed to cancelled. Warehouse Atlanta-GA confirmed pick completion."
"4","16","resolution","RMA processed successfully. Refurbished units returned to inventory."
"5","18","resolution","Customer accepted partial shipment. Remaining 30 units scheduled for 2024-04-23."
"6","19","escalation","ESCALATED: Carrier FedEx has lost shipment. Insurance claim filed. Value: $1117.49."
"7","8","update","Priority upgraded from standard to expedited per customer request. Additional fee: $2174.73."
"8","3","feedback","Customer requested recurring order schedule for Control Board Assembly. Setting up auto-replenishment."
"9","5","update","Priority upgraded from standard to rush per customer request. Additional fee: $2021.21."
"10","28","escalation","ESCALATED: Carrier FreightLine has lost shipment. Insurance claim filed. Value: $4015.68."
"11","39","update","Shipping label generated. Tracking number 1Z960170255 via FreightLine."
"12","3","issue","Carrier reported damaged package during transit via FreightLine. Replacement being processed."
"13","2","update","Priority upgraded from standard to expedited per customer request. Additional fee: $1463.61."
"14","36","feedback","Customer requested recurring order schedule for Servo Motor Assembly. Setting up auto-replenishment."
"15","34","resolution","RMA processed successfully. Refurbished units returned to inventory."
"16","46","issue","Customer complaint: Pallet Stretch Wrap 4pk received does not match specifications. Investigating with warehouse Reno-NV."
"17","17","update","Delivery confirmed at customer dock. Signed by K. Brown at 11:21."
"18","10","resolution","Escalation closed. Vendor agreed to 10% discount on next order as compensation."
"19","27","issue","Backorder on Filing Cabinet 4-Drawer from supplier. Lead time extended by 18 days."
"20","32","feedback","Sales rep priya.patel noted customer interest in volume discount program for Q1 orders."
"21","44","feedback","Positive feedback on packaging quality. Zero damage reported across 37 shipments this quarter."
"22","9","resolution","Customer accepted partial shipment. Remaining 49 units scheduled for 2024-11-11."
"23","39","feedback","Customer survey score: 9/10. Comment: 'Shipping was slower than expected'"
"24","27","feedback","Customer survey score: 7/10. Comment: 'Product quality is excellent'"
"25","36","resolution","Backorder fulfilled. All 47 units shipped from Portland-OR on 2024-12-19."
"26","23","escalation","ESCALATED: High-value customer Hooli Inc requesting executive review of fulfillment SLA violations."
"27","7","update","Shipping label generated. Tracking number 1Z287974375 via UPS."
"28","12","escalation","ESCALATED: High-value customer Prestige Worldwide requesting executive review of fulfillment SLA violations."
"29","46","issue","Inventory discrepancy found at Reno-NV. Physical count 41 vs system shows 42."
"30","22","resolution","Escalation closed. Vendor agreed to 25% discount on next order as compensation."
"31","48","escalation","ESCALATED: High-value customer Umbrella Logistics requesting executive review of fulfillment SLA violations."
"32","29","issue","Carrier reported damaged package during transit via DHL. Replacement being processed."
"33","28","resolution","Issue resolved. Replacement shipment sent via UPS with expedited delivery."
"34","34","issue","Carrier reported damaged package during transit via DHL. Replacement being processed."
"35","16","issue","Quality issue reported on Foam Insert Custom Cut. 45 units affected. RMA initiated."
"36","43","feedback","Sales rep chen.wei noted customer interest in volume discount program for Q4 orders."
"37","15","resolution","Escalation closed. Vendor agreed to 28% discount on next order as compensation."
"38","39","issue","Quality issue reported on Servo Motor Assembly. 15 units affected. RMA initiated."
"39","20","resolution","Customer accepted partial shipment. Remaining 50 units scheduled for 2024-08-28."
"40","25","feedback","Positive feedback on packaging quality. Zero damage reported across 50 shipments this quarter."
"41","27","issue","Carrier reported damaged package during transit via USPS. Replacement being processed."
"42","35","escalation","ESCALATED: Order 19 days past due. Customer threatening to switch vendors. Immediate attention required."
"43","42","escalation","ESCALATED: Order 4 days past due. Customer threatening to switch vendors. Immediate attention required."
"44","44","escalation","ESCALATED: Critical supply shortage on Filing Cabinet 4-Drawer. 22 orders affected across Northeast region."
"45","33","update","Partial shipment dispatched: 6 of 5 line items. Remainder ships 2024-04-28."
"46","46","issue","Customer complaint: Poly Mailer Bags 100pk received does not match specifications. Investigating with warehouse Chicago-IL."
"47","23","feedback","Customer survey score: 9/10. Comment: 'Product quality is excellent'"
"48","11","resolution","RMA processed successfully. Refurbished units returned to inventory."
"49","9","resolution","Customer accepted partial shipment. Remaining 13 units scheduled for 2024-06-09."
"50","29","update","Order status changed from backordered to cancelled. Warehouse Dallas-TX confirmed pick completion."
"51","7","update","Partial shipment dispatched: 43 of 10 line items. Remainder ships 2024-10-15."
"52","19","resolution","Issue resolved. Replacement shipment sent via UPS with expedited delivery."
"53","44","update","Shipping label generated. Tracking number 1Z582727494 via UPS."
"54","49","update","Order status changed from backordered to cancelled. Warehouse Portland-OR confirmed pick completion."
"55","44","update","Partial shipment dispatched: 10 of 9 line items. Remainder ships 2024-12-10."
"56","45","escalation","ESCALATED: Third quality issue this quarter from Reno-NV. Pattern suggests systemic problem with Silicone Gasket Material line."
"57","32","issue","Shipment delayed due to warehouse staffing shortage. Customer notified. Expected resolution by 2024-01-17."
"58","7","update","Shipping label generated. Tracking number 1Z249502403 via FedEx."
"59","18","feedback","Positive feedback on packaging quality. Zero damage reported across 38 shipments this quarter."
"60","41","resolution","RMA processed successfully. Refurbished units returned to inventory."
"61","32","resolution","Backorder fulfilled. All 33 units shipped from Chicago-IL on 2024-10-16."
"62","6","update","Partial shipment dispatched: 27 of 6 line items. Remainder ships 2024-01-27."
"63","8","escalation","ESCALATED: Carrier FedEx has lost shipment. Insurance claim filed. Value: $1601.09."
"64","41","update","Priority upgraded from standard to expedited per customer request. Additional fee: $3663.55."
"65","14","feedback","Customer survey score: 9/10. Comment: 'Great service, always reliable'"
"66","49","feedback","Customer praised fast turnaround on rush order. Shipped within 18 hours of placement."
"67","14","escalation","ESCALATED: Third quality issue this quarter from Atlanta-GA. Pattern suggests systemic problem with Aluminum Sheet 4x8 0.125in line."
