"fulfillment_id","order_id","ship_date","warehouse","on_time","days_to_ship","shipping_cost","carrier"
"1","1","2024-11-29","Portland-OR","False","6","53.49","FreightLine"
"2","2","2024-02-18","Reno-NV","True","4","285.42","FreightLine"
"3","3","2024-04-21","Reno-NV","True","10","241.12","FedEx"
"4","4","2024-04-01","Portland-OR","True","10","326.24","FedEx"
"5","5","2024-02-20","Portland-OR","True","3","106.55","USPS"
"6","6","2024-10-22","Dallas-TX","False","21","22.17","FreightLine"
"7","7","2024-04-15","Chicago-IL","True","7","49.8","FedEx"
"8","8","2024-03-01","Atlanta-GA","False","9","87.07","DHL"
"9","9","2024-12-12","Portland-OR","True","3","88.05","USPS"
"10","10","2024-05-15","Chicago-IL","False","10","214.73","UPS"
"11","11","2024-04-30","Chicago-IL","True","3","267.74","FedEx"
"12","12","2024-06-13","Atlanta-GA","True","3","163.44","DHL"
"13","13","2024-10-24","Portland-OR","False","10","293.54","UPS"
"14","14","2024-05-01","Atlanta-GA","False","9","95.63","FedEx"
"15","15","2024-12-19","Reno-NV","True","5","314.86","DHL"
"16","17","2024-03-07","Chicago-IL","False","9","429.28","UPS"
"17","18","2024-04-23","Chicago-IL","False","22","448.23","FedEx"
"18","19","2024-07-14","Dallas-TX","True","4","208.76","UPS"
"19","20","2024-01-28","Chicago-IL","False","18","111.96","FedEx"
"20","21","2024-09-13","Dallas-TX","True","8","344.82","UPS"
"21","22","2024-10-15","Dallas-TX","False","7","348.16","FreightLine"
"22","23","2024-08-01","Portland-OR","True","9","294.17","FedEx"
"23","24","2024-02-09","Chicago-IL","False","7","394.8","DHL"
"24","25","2024-12-29","Chicago-IL","True","1","304.24","USPS"
"25","26","2024-05-06","Atlanta-GA","True","5","158.81","DHL"
"26","27","2024-09-04","Chicago-IL","True","5","69.65","USPS"
"27","29","2024-05-10","Reno-NV","True","3","283.44","DHL"
"28","30","2024-05-28","Chicago-IL","False","21","44.52","UPS"
"29","31","2024-05-08","Reno-NV","False","7","382.09","FedEx"
"30","32","2024-08-04","Portland-OR","False","22","306.63","UPS"
"31","33","2024-04-13","Chicago-IL","False","6","358.8","FreightLine"
"32","34","2024-02-01","Dallas-TX","False","2","192.75","USPS"
"33","35","2024-02-11","Dallas-TX","True","6","258.67","UPS"
"34","36","2024-11-02","Dallas-TX","False","2","83.28","UPS"
"35","37","2024-04-19","Chicago-IL","True","5","66.21","UPS"
"36","38","2024-07-05","Reno-NV","False","25","221.55","FreightLine"
"37","39","2024-10-10","Reno-NV","False","8","437.72","FreightLine"
"38","40","2024-05-31","Portland-OR","False","6","395.88","UPS"
"39","41","2024-06-10","Atlanta-GA","True","8","37.88","USPS"
"40","42","2024-03-25","Portland-OR","True","5","213.13","FreightLine"
"41","43","2024-09-19","Atlanta-GA","False","12","154.69","FedEx"
"42","44","2024-01-03","Portland-OR","True","1","138.53","FedEx"
"43","45","2024-12-29","Reno-NV","True","2","397.85","DHL"
"44","46","2024-01-27","Chicago-IL","True","8","209.41","DHL"
"45","47","2024-07-21","Atlanta-GA","False","16","122.71","FreightLine"
"46","48","2024-07-03","Atlanta-GA","True","3","436.59","FedEx"
"47","49","2024-04-06","Chicago-IL","True","6","447.33","FreightLine"
"48","50","2024-05-18","Atlanta-GA","True","2","50.6","DHL"
