"order_id","customer_name","region","order_date","requested_ship_date","status","priority","channel","sales_rep"
"1","Weyland Distribution","Southeast","2024-11-23","2024-11-25","completed","standard","web","alex.thompson"
"2","Acme Industrial","Northeast","2024-02-14","2024-02-24","completed","standard","web","alex.thompson"
"3","Prestige Worldwide","West","2024-04-11","2024-04-23","shipped","standard","EDI","james.wilson"
"4","Weyland Distribution","Southeast","2024-03-22","2024-04-03","completed","standard","EDI","james.wilson"
"5","Aperture Materials","International","2024-02-17","2024-02-24","completed","standard","web","priya.patel"
"6","Massive Dynamic","Northeast","2024-10-01","2024-10-03","backordered","expedited","EDI","alex.thompson"
"7","Pacific Rim Traders","Southeast","2024-04-08","2024-04-20","completed","expedited","web","maria.garcia"
"8","TechNova Solutions","Midwest","2024-02-21","2024-02-28","completed","standard","EDI","maria.garcia"
"9","Pacific Rim Traders","Northeast","2024-12-09","2024-12-14","processing","expedited","phone","alex.thompson"
"10","Weyland Distribution","International","2024-05-05","2024-05-08","shipped","standard","EDI","james.wilson"
"11","Tyrell Freight","West","2024-04-27","2024-05-11","completed","standard","phone","alex.thompson"
"12","Massive Dynamic","West","2024-06-10","2024-06-14","processing","standard","phone","maria.garcia"
"13","Vandelay Industries","West","2024-10-14","2024-10-23","completed","rush","marketplace","chen.wei"
"14","Initech Systems","Northeast","2024-04-22","2024-04-25","shipped","rush","phone","maria.garcia"
"15","Massive Dynamic","West","2024-12-14","2024-12-21","shipped","expedited","marketplace","alex.thompson"
"16","Acme Industrial","Northeast","2024-05-08","2024-05-17","cancelled","expedited","EDI","chen.wei"
"17","Pied Piper Logistics","Northeast","2024-02-27","2024-03-03","completed","rush","EDI","alex.thompson"
"18","TechNova Solutions","Midwest","2024-04-01","2024-04-10","backordered","expedited","phone","maria.garcia"
"19","Summit Supply Group","International","2024-07-10","2024-07-23","completed","rush","EDI","priya.patel"
"20","Soylent Goods","Southeast","2024-01-10","2024-01-12","backordered","standard","web","james.wilson"
"21","Summit Supply Group","International","2024-09-05","2024-09-19","completed","expedited","phone","priya.patel"
"22","Bluth Company","West","2024-10-08","2024-10-11","completed","rush","phone","chen.wei"
"23","Pied Piper Logistics","International","2024-07-23","2024-08-03","shipped","standard","phone","maria.garcia"
"24","Prestige Worldwide","Southeast","2024-02-02","2024-02-08","completed","expedited","web","james.wilson"
"25","Initech Systems","Northeast","2024-12-28","2025-01-08","completed","rush","web","alex.thompson"
"26","Cyberdyne Supply Co","International","2024-05-01","2024-05-06","processing","standard","marketplace","maria.garcia"
"27","Umbrella Logistics","Northeast","2024-08-30","2024-09-12","completed","expedited","EDI","priya.patel"
"28","Globex Corporation","Northeast","2024-07-29","2024-08-06","cancelled","standard","EDI","james.wilson"
"29","Pied Piper Logistics","Southeast","2024-05-07","2024-05-11","completed","standard","EDI","priya.patel"
"30","Pied Piper Logistics","International","2024-05-07","2024-05-21","backordered","standard","web","james.wilson"
"31","Dunder Mifflin Supply","Southeast","2024-05-01","2024-05-04","completed","rush","web","maria.garcia"
"32","Weyland Distribution","West","2024-07-13","2024-07-14","backordered","standard","marketplace","maria.garcia"
"33","Globex Corporation","International","2024-04-07","2024-04-12","completed","expedited","web","chen.wei"
"34","Sterling Cooper Fulfillment","International","2024-01-30","2024-01-31","shipped","standard","web","maria.garcia"
"35","Oscorp Industries","West","2024-02-05","2024-02-15","completed","standard","phone","alex.thompson"
"36","Hooli Inc","International","2024-10-31","2024-11-01","shipped","expedited","EDI","chen.wei"
"37","Oscorp Industries","Midwest","2024-04-14","2024-04-25","processing","standard","EDI","priya.patel"
"38","Acme Industrial","West","2024-06-10","2024-06-23","backordered","expedited","web","james.wilson"
"39","Stark Manufacturing","Midwest","2024-10-02","2024-10-06","shipped","rush","phone","chen.wei"
"40","Prestige Worldwide","Midwest","2024-05-25","2024-05-28","completed","expedited","web","alex.thompson"
"41","Stark Manufacturing","Midwest","2024-06-02","2024-06-13","completed","standard","web","alex.thompson"
"42","Cyberdyne Supply Co","Midwest","2024-03-20","2024-03-25","completed","standard","EDI","alex.thompson"
"43","Globex Corporation","Northeast","2024-09-07","2024-09-12","backordered","expedited","EDI","james.wilson"
"44","TechNova Solutions","Midwest","2024-01-02","2024-01-08","processing","standard","marketplace","alex.thompson"
"45","Umbrella Logistics","Northeast","2024-12-27","2025-01-03","shipped","rush","phone","alex.thompson"
"46","Prestige Worldwide","Southeast","2024-01-19","2024-02-02","completed","standard","web","chen.wei"
"47","Globex Corporation","Midwest","2024-07-05","2024-07-18","backordered","standard","phone","james.wilson"
"48","Hooli Inc","International","2024-06-30","2024-07-13","shipped","expedited","phone","maria.garcia"
"49","Cascade Components","Midwest","2024-03-31","2024-04-07","completed","expedited","marketplace","maria.garcia"
"50","Umbrella Logistics","West","2024-05-16","2024-05-19","processing","rush","marketplace","maria.garcia"
