"INPUT_QUERY","GROUND_TRUTH_DATA"
"What is the total revenue by region?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}], ""ground_truth_output"": ""The query should return total revenue (sum of line item amounts) grouped by region. The agent should use the semantic view to aggregate total_amount across all orders by the region dimension.""}"
"Which warehouse has the best on-time delivery rate?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}], ""ground_truth_output"": ""The agent should query fulfillment data to calculate the on-time delivery percentage for each warehouse and identify the one with the highest rate. This is a quantitative question using structured fulfillment metrics.""}"
"What shipping delays or issues have been reported recently?","{""ground_truth_invocations"": [{""tool_name"": ""search_order_notes""}], ""ground_truth_output"": ""The agent should search order notes for delay-related content including issues, escalations, and carrier problems. Results should include specific details about delays such as weather, customs, carrier issues, and affected orders.""}"
"Generate a report for order 5","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}, {""tool_name"": ""generate_order_report""}], ""ground_truth_output"": ""The agent should first look up order 5 details using query_order_metrics to confirm the order exists, then call generate_order_report with order_id=5 to create a comprehensive HTML report. The response should mention the report was generated and provide key highlights.""}"
"What are the top 5 customers by total order value?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}], ""ground_truth_output"": ""The agent should query the semantic view to sum total_amount by customer_name, order descending, and limit to top 5. This is a pure quantitative ranking question.""}"
"What customer feedback have we received about packaging quality?","{""ground_truth_invocations"": [{""tool_name"": ""search_order_notes""}], ""ground_truth_output"": ""The agent should search order notes for feedback related to packaging quality. Results should include positive and negative comments about packaging from customer feedback and issue notes.""}"
"How does FedEx compare to UPS in terms of shipping cost and delivery performance?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}], ""ground_truth_output"": ""The agent should query fulfillment data to compare FedEx and UPS on average shipping cost, on-time delivery rate, and average days to ship. This is a quantitative comparison between two carriers.""}"
"Are there any escalated issues that need immediate attention?","{""ground_truth_invocations"": [{""tool_name"": ""search_order_notes""}], ""ground_truth_output"": ""The agent should search order notes for escalation-type entries. Results should surface urgent issues like overdue orders, repeated quality problems, high-value customer complaints, and lost shipments.""}"
"What is the average days to ship by priority level?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}], ""ground_truth_output"": ""The agent should calculate the average days_to_ship grouped by order priority (standard, expedited, rush). Rush orders should generally have fewer days to ship than standard orders.""}"
"Generate a comprehensive report for the order placed by Stark Manufacturing","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}, {""tool_name"": ""generate_order_report""}], ""ground_truth_output"": ""The agent should first use query_order_metrics to find the order_id for Stark Manufacturing, then call generate_order_report with that order_id. The response should confirm the report was generated and provide key details from the order.""}"
"What quality issues have been reported with Electronics products?","{""ground_truth_invocations"": [{""tool_name"": ""search_order_notes""}], ""ground_truth_output"": ""The agent should search order notes for quality-related issues mentioning electronics products. Results should include RMA details, specification mismatches, and resolution outcomes.""}"
"Show me monthly revenue trends for 2024","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}], ""ground_truth_output"": ""The agent should query the semantic view to aggregate total revenue by month across 2024 and present a time-series view of revenue trends. This is a temporal quantitative analysis.""}"
"What are the most common reasons for order delays and how have they been resolved?","{""ground_truth_invocations"": [{""tool_name"": ""search_order_notes""}], ""ground_truth_output"": ""The agent should search order notes for both issue and resolution entries related to delays. The response should identify common delay reasons (weather, supplier delays, carrier issues) and summarize resolution patterns.""}"
"Which product category generates the most revenue and what is the breakdown by channel?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}], ""ground_truth_output"": ""The agent should query total revenue by product category and channel using the semantic view. Results should show a cross-tabulation of category vs channel with revenue amounts.""}"
"What can you help me with?","{""ground_truth_invocations"": [], ""ground_truth_output"": ""The agent should describe its capabilities without making any tool calls. It can help with: querying order metrics and performance data (revenue, shipping, fulfillment), searching order notes for qualitative insights (issues, feedback, escalations), and generating comprehensive order reports.""}"
"What is the current stock price of Snowflake?","{""ground_truth_invocations"": [], ""ground_truth_output"": ""The agent should NOT make any tool calls. It should explain that it does not have access to stock market data. Its capabilities are limited to supply chain order analytics, order notes, and report generation.""}"
"What was the total number of orders by sales channel and what feedback do customers have about the web channel?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}, {""tool_name"": ""search_order_notes""}], ""ground_truth_output"": ""This is a multi-tool question. The agent should first use query_order_metrics to get order counts by channel, then use search_order_notes to find feedback about the web ordering channel. The response should combine quantitative order counts with qualitative customer feedback.""}"
"How many backordered orders do we have and what are the specific issues causing them?","{""ground_truth_invocations"": [{""tool_name"": ""query_order_metrics""}, {""tool_name"": ""search_order_notes""}], ""ground_truth_output"": ""Multi-tool question. The agent should query for count of orders with backordered status using query_order_metrics, then search order notes for backorder-related issues and delays. The response should combine the count with specific issue details.""}"
